property_id	account_number	full_address	sqft	description	catchment_side	sale_date	sale_price
7094004010	773532000	4010-12 SANSOM ST	0	PKG LOT NON COMMERCIAL	inside		2
7094004022	271147510	4022 SANSOM ST	1766	DET W/GAR 2 STY MASONRY	inside	1985-11-12	56000
7094004024	271147600	4024 SANSOM ST	1700	ROW 3 STY MASONRY	inside	1998-06-26	1
7094004026	271147700	4026 SANSOM ST	1700	ROW 3 STY MASONRY	inside	1998-06-26	1
7094004028	271147800	4028 SANSOM ST	1700	ROW CONV/APT 3 STY MASON	inside	1998-06-26	1
7094004030	271147900	4030 SANSOM ST	1700	ROW CONV/APT 3 STY MASON	inside	1998-06-26	1
7094004032	271148000	4032 SANSOM ST	1700	ROW CONV/APT 3 STY MASON	inside	1998-03-23	75000
7094004034	271148100	4034 SANSOM ST	1700	ROW CONV/APT 3 STY MASON	inside	1998-06-26	1
7094004036	271148300	4036 SANSOM ST	1844	ROW CONV/APT 3 STY MASON	inside	2000-01-07	45000
7094004037	271145600	4037 SANSOM ST	2020	ROW CONV/APT 2 STY MASON	outside	2000-10-25	85000
7094004038	271148400	4038 SANSOM ST	1844	ROW CONV/APT 3 STY MASON	inside	1999-05-11	1
7094004039	271145700	4039 SANSOM ST	2020	ROW CONV/APT 3 STY MASON	outside	1988-09-06	75000
7094004040	271148500	4040 SANSOM ST	1974	ROW CONV/APT 3 STY MASON	inside	1999-02-16	90000
7094004041	271145800	4041 SANSOM ST	2020	ROW CONV/APT 3 STY MASON	outside	1998-04-22	50000
7094004042	271148600	4042 SANSOM ST	2412	ROW 3 STY MASONRY	inside	1998-01-07	44900
7094004043	271145900	4043 SANSOM ST	2020	ROW CONV/APT 3 STY MASON	outside	2007-05-08	56672
7094004044	271148700	4044 SANSOM ST	2412	ROW CONV/APT 3 STY MASON	inside	1998-06-26	1
7094004045	271146010	4045 SANSOM ST	2019	ROW 3 STY MASONRY	outside	1999-05-11	1
7094004046	271148800	4046 SANSOM ST	2412	ROW 3 STY MASONRY	inside	2014-05-15	1
7094004047	271146100	4047 SANSOM ST	2280	ROW CONV/APT 3 STY MASON	outside	1998-06-26	1
7094004048	271148900	4048 SANSOM ST	2106	ROW CONV/APT 3 STY MASON	inside	1999-05-11	1
7094004049	271146200	4049 SANSOM ST	2280	ROW CONV/APT 3 STY MASON	outside	1998-06-26	1
7094004050	271149000	4050 SANSOM ST	2106	ROW CONV/APT 3 STY MASON	inside	1999-04-29	1
7094004051	271146300	4051 SANSOM ST	2020	ROW CONV/APT 3 STY MASON	outside	1998-05-29	47000
7094004053	271146400	4053 SANSOM ST	2020	ROW CONV/APT 3 STY MASON	outside	1998-06-26	1
7094004055	271146500	4055 SANSOM ST	2020	ROW 3 STY MASONRY	outside	1992-02-20	55000
7094004057	271146600	4057 SANSOM ST	2020	ROW 3 STY MASONRY	outside	2007-02-26	1
7094004059	271146720	4059 SANSOM ST	2019	ROW CONV/APT 3 STY MASON	outside	1999-05-11	1
7094004061	271146800	4061 SANSOM ST	2020	ROW 3 STY MASONRY	outside	1997-09-08	1
7094004063	881603200	4063 SANSOM ST	2020	APTS 5-50 UNITS MASONRY	outside	1998-06-26	1
8871000314	774383000	314-16 S 46TH ST	9490	HSE WORSHIP ALL 1 STY MAS	outside	1978-08-24	130000
8871000315	881708900	315-19 S 46TH ST	8155	APTS 5-50 UNITS MASONRY	inside	2004-12-16	1
8871000320	461177000	320 S 46TH ST	3150	SEMI/DET 4 STY MASONRY	outside	2015-06-26	506000
8871000321	461165800	321 S 46TH ST	3024	SEMI/DET 4 STY MASONRY	inside	2000-10-30	153700
8871000322	461177100	322 S 46TH ST	3150	S/D CONV APT 4 STY MASON	outside	1984-07-31	98000
8871000323	461165900	323 S 46TH ST	3024	S/D CONV APT 4 STY MASON	inside	2015-03-04	415500
8871000324	881709100	324 S 46TH ST	3420	APTS 5-50 UNITS MASONRY	outside	2005-12-02	1
8871000325	461166000	325 S 46TH ST	3024	SEMI/DET 4 STY MASONRY	inside	2003-02-25	1
8871000326	461177300	326 S 46TH ST	3150	SEMI/DET 4 STY MASONRY	outside	2001-06-29	237000
8871000327	881709000	327 S 46TH ST	3024	APTS 5-50 UNITS MASONRY	inside	1978-04-12	26000
8871000328	461177400	328 S 46TH ST	3150	S/D CONV APT 4 STY MASON	outside	1995-01-24	115000
8871000329	461166200	329 S 46TH ST	3024	SEMI/DET 4 STY MASONRY	inside	2015-08-28	593750
8871000330	461177500	330 S 46TH ST	3150	SEMI/DET 4 STY MASONRY	outside	2001-06-28	300000
8871000331	461166300	331 S 46TH ST	3840	SEMI/DET 4 STY MASONRY	inside	2013-08-16	699000
6482004610	461029700	4610 PINE ST	4125	DET W/B GAR 2.5 STY MASON	inside	2005-02-14	550000
6482004614	461029800	4614 PINE ST	4125	DET W/B GAR 2.5 STY MASON	inside	1990-05-22	1
6482004617000H101	888461206	4617 PINE ST	817	RES CONDO 5+ STY MASONRY	outside	2005-08-10	1
6482004617000H102	888461208	4617 PINE ST	1436	RES CONDO 5+ STY MASONRY	outside	2005-04-07	1
6482004617000H103	888461210	4617 PINE ST	1273	RES CONDO 5+ STY MASONRY	outside	2006-12-18	170000
6482004617000H205	888461212	4617 PINE ST	2071	RES CONDO 5+ STY MASONRY	outside	2002-10-28	118000
6482004617000H210	888461214	4617 PINE ST	2389	RES CONDO 5+ STY MASONRY	outside	2002-01-23	125000
6482004617000H305	888461216	4617 PINE ST	2071	RES CONDO 5+ STY MASONRY	outside	1995-03-31	101000
6482004617000H310	888461218	4617 PINE ST	2389	RES CONDO 5+ STY MASONRY	outside	2009-06-23	285000
